Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","1959","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","1322","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","1182","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2013","2013","t","314","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2014","2014","t","58.4","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2015","2015","t","23.91","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2016","2016","t","22.79","A","Official figure"
"TM","Detailed trade matrix","036","Australia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","7","A","Official figure"
"TM","Detailed trade matrix","036","Australia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","13","A","Official figure"
"TM","Detailed trade matrix","036","Australia","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2012","2012","t","3","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2010","2010","t","0","A","Official figure"
"TM","Detailed trade matrix","040","Austria","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","F0875","Beef and veal preparations nes","2011","2011","t","17","A","Official figure"
